region,activity,sex,count
Кіровоградська,"Водопостачання; каналізація, поводження з відходами",Чоловіки,104
Кіровоградська,Охорона здоров'я та надання соціальної допомоги,Жінки,289
Кіровоградська,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,2830
Кіровоградська,"Професійна, наукова та технічна діяльність",Жінки,132
Кіровоградська,Добувна промисловість і розроблення кар'єрів,Чоловіки,29
Кіровоградська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,402
Кіровоградська,Інформація та телекомунікації,Чоловіки,94
Кіровоградська,Добувна промисловість і розроблення кар'єрів,Жінки,8
Кіровоградська,Будівництво,Чоловіки,314
Кіровоградська,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,578
Кіровоградська,Діяльність домашніх господарств,Жінки,1
Кіровоградська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,109
Кіровоградська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,79
Кіровоградська,Операції з нерухомим майном,Чоловіки,322
Кіровоградська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,246
Кіровоградська,Надання інших видів послуг,Жінки,1287
Кіровоградська,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,418
Кіровоградська,Тимчасове розміщування й організація харчування,Жінки,45
Кіровоградська,Надання інших видів послуг,Чоловіки,2217
Кіровоградська,Освіта,Чоловіки,214
Кіровоградська,"Мистецтво, спорт, розваги та відпочинок",Жінки,257
Кіровоградська,Фінансова та страхова діяльність,Жінки,7
Кіровоградська,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,449
Кіровоградська,Фінансова та страхова діяльність,Чоловіки,9
Кіровоградська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,893
Кіровоградська,Переробна промисловість,Чоловіки,512
Кіровоградська,"Сільське господарство, лісове господарство та рибне господарство",Жінки,692
Кіровоградська,Будівництво,Жінки,75
Луганська,Інформація та телекомунікації,Жінки,6
Луганська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,2
Луганська,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,719
Луганська,Освіта,Жінки,1265
Луганська,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,631
Луганська,Охорона здоров'я та надання соціальної допомоги,Жінки,361
Луганська,Будівництво,Чоловіки,16
Луганська,Добувна промисловість і розроблення кар'єрів,Чоловіки,2
Луганська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,37
Луганська,Переробна промисловість,Чоловіки,28
Луганська,Фінансова та страхова діяльність,Чоловіки,2
Луганська,Інформація та телекомунікації,Чоловіки,14
Луганська,Тимчасове розміщування й організація харчування,Жінки,6
Луганська,Надання інших видів послуг,Жінки,1903
Луганська,Операції з нерухомим майном,Жінки,41
Луганська,Освіта,Чоловіки,290
Луганська,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,80
Луганська,"Мистецтво, спорт, розваги та відпочинок",Жінки,155
Луганська,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,612
Луганська,Надання інших видів послуг,Чоловіки,3080
Луганська,Охорона здоров'я та надання соціальної допомоги,Чоловіки,350
Луганська,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,631
Луганська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,10
Луганська,"Професійна, наукова та технічна діяльність",Чоловіки,40
Луганська,"Сільське господарство, лісове господарство та рибне господарство",Жінки,24
Луганська,Діяльність домашніх господарств,Жінки,1
Луганська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,3
Луганська,"Водопостачання; каналізація, поводження з відходами",Жінки,2
Луганська,"Водопостачання; каналізація, поводження з відходами",Чоловіки,6
Луганська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,4
Луганська,Тимчасове розміщування й організація харчування,Чоловіки,8
Луганська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,10
Луганська,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,57
Луганська,Операції з нерухомим майном,Чоловіки,52
